matrix,topology,scenario,scheduler,num_agents,metric,solver_a,solver_b,n_a,n_b,mean_a,mean_b,mean_diff,t_stat,p_raw,cliffs_d,p_bh,significant_bh_q05
E1_warehouse_dual_dock,warehouse_dual_dock,intermittent_80s80m15r,closest,40,attack_rate,pibt,token_passing,30,30,0.9974999999999999,0.9958333333333333,0.0016666666666665941,0.7504044217063588,0.4561825837192529,0.06666666666666667,0.6087027254515941,False
E1_warehouse_dual_dock,warehouse_dual_dock,intermittent_80s80m15r,closest,40,attack_rate,rhcr_pbs,token_passing,30,30,0.9974999999999999,0.9958333333333333,0.0016666666666665941,0.7504044217063588,0.4561825837192529,0.06666666666666667,0.6087027254515941,False
E1_warehouse_dual_dock,warehouse_dual_dock,intermittent_80s80m15r,closest,40,cascade_depth_avg,pibt,rhcr_pbs,30,30,0.211,0.14800000000000002,0.06299999999999997,5.308154047124563,2.2046383568409286e-06,0.7211111111111111,1.0411201872439435e-05,True
E1_warehouse_dual_dock,warehouse_dual_dock,intermittent_80s80m15r,closest,40,cascade_depth_avg,pibt,token_passing,30,30,0.211,0.05233333333333335,0.15866666666666665,15.582100705298602,1.0174567816632407e-17,0.9955555555555555,2.0820999647949215e-16,True
E1_warehouse_dual_dock,warehouse_dual_dock,intermittent_80s80m15r,closest,40,cascade_depth_avg,rhcr_pbs,token_passing,30,30,0.14800000000000002,0.05233333333333335,0.09566666666666668,12.209050120144216,1.781588955374179e-15,0.9988888888888889,3.144504506235426e-14,True
E1_warehouse_dual_dock,warehouse_dual_dock,intermittent_80s80m15r,closest,40,critical_time,pibt,rhcr_pbs,30,30,0.2785266666666667,0.17968333333333333,0.09884333333333337,8.796951606007116,2.747147346878815e-10,0.8366666666666667,2.2817482669369922e-09,True
E1_warehouse_dual_dock,warehouse_dual_dock,intermittent_80s80m15r,closest,40,critical_time,pibt,token_passing,30,30,0.2785266666666667,0.27681999999999995,0.0017066666666667452,0.37562237873051957,0.7085681238058872,0.05444444444444444,0.8241336003409495,False
E1_warehouse_dual_dock,warehouse_dual_dock,intermittent_80s80m15r,closest,40,critical_time,rhcr_pbs,token_passing,30,30,0.17968333333333333,0.27681999999999995,-0.09713666666666662,-8.637327608599007,4.1342475359079375e-10,-0.84,3.298055096441812e-09,True
E1_warehouse_dual_dock,warehouse_dual_dock,intermittent_80s80m15r,closest,40,fault_tolerance,pibt,rhcr_pbs,30,30,0.73412,0.7592233333333334,-0.025103333333333366,-1.7563555221375893,0.08501952880591016,-0.35888888888888887,0.16955872129088295,False
E1_warehouse_dual_dock,warehouse_dual_dock,intermittent_80s80m15r,closest,40,fault_tolerance,pibt,token_passing,30,30,0.73412,0.7829233333333332,-0.0488033333333332,-3.5110879729494506,0.0009285314805682462,-0.5666666666666667,0.0029330793077457797,True
E1_warehouse_dual_dock,warehouse_dual_dock,intermittent_80s80m15r,closest,40,fault_tolerance,rhcr_pbs,token_passing,30,30,0.7592233333333334,0.7829233333333332,-0.023699999999999832,-1.4469390151936272,0.15330645978129787,-0.19444444444444445,0.2748411308093863,False
