solver,topology,scenario,scheduler,num_agents,seed,is_baseline,avg_throughput,total_tasks,unassigned_ratio,wait_ratio,fault_tolerance,critical_time,deficit_recovery,throughput_recovery,mtbf,recovery_tick,survival_rate,impacted_area,deficit_integral,cascade_depth_avg,cascade_spread_avg,structural_cascade_avg,structural_cascade_max,mitigation_delta_avg,itae,rapidity,attack_rate,fleet_utilization,pbs_partial_rate,solver_step_avg_us,solver_step_max_us,wall_time_ms
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,3141,true,1.2767,383,0.0119,0.1068,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.7267,253369.5,1121394.0,76015
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,3141,false,0.8167,245,0.0076,0.3861,0.4588,0.2836,,1.00,,,1.0000,-36.0313,9617,0.05,1.05,4.00,7.00,-2.95,8502.5000,,0.1852,0.9946,0.8467,353424.9,1421428.0,106463
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,3141,true,1.2633,379,0.0119,0.1113,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.7067,553909.5,6350141.0,166178
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,3141,false,0.9500,285,0.0089,0.2943,0.6398,0.2139,,1.00,,,1.0000,-24.8021,6134,0.00,1.00,3.26,6.00,-2.26,8395.4333,,0.2130,0.9922,0.8000,1599251.2,9426504.0,480183
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,3141,true,1.2633,379,0.0133,0.1048,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.8467,2343975.5,11775767.0,703198
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,3141,false,1.2633,379,0.0130,0.1418,1.0000,0.0846,184.00,1.00,,294,1.0000,0.0000,1139,0.08,1.15,5.38,10.00,-4.23,6222.2571,,0.1389,0.9871,0.7800,3594751.0,23321462.0,1078682
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,3141,true,1.2233,367,0.0132,0.1278,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.8067,38921802.6,1272281782.0,11676552
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,3141,false,0.6433,193,0.0070,0.5374,0.3012,0.3532,,1.00,,,1.0000,-47.4114,12561,0.14,1.14,6.00,8.00,-4.86,9225.1333,,0.1481,0.9965,0.4600,13437255.9,158770747.0,4031526
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,9999,true,1.2300,369,0.0122,0.1132,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.7267,9181267.2,50664481.0,2754385
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,9999,false,1.2467,374,0.0123,0.1207,1.0197,0.0746,164.00,1.00,,278,1.0000,1.3550,235,0.50,1.50,4.00,7.00,-2.50,8876.0000,,0.0278,0.9873,0.7467,9716683.0,51450976.0,2915042
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,9999,true,1.2433,373,0.0117,0.1252,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.7467,223752.5,914614.0,67130
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,9999,false,1.2567,377,0.0117,0.1002,1.0156,0.0945,56.00,1.00,,196,1.0000,1.0724,76,0.00,1.00,1.00,1.00,0.00,6683.8667,,0.0185,0.9880,0.7267,402785.9,1662648.0,120889
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,9999,true,0.2867,86,0.0027,0.7691,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.9133,1111562.9,6268362.0,333485
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,9999,false,0.2867,86,0.0027,0.7691,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,,,0.0000,1.0000,0.9133,1601518.2,9239487.0,480455
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,9999,true,1.2567,377,0.0136,0.1061,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.8733,2444105.6,13061657.0,733242
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,9999,false,1.1933,358,0.0129,0.1204,0.9252,0.0846,,1.00,,,1.0000,-5.0398,1923,0.00,1.00,1.80,2.00,-0.80,5789.5333,,0.0463,0.9871,0.8867,3916728.8,22784225.0,1175147
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,9999,true,1.2700,381,0.0140,0.1191,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.8333,40479079.2,899380621.0,12143735
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,9999,false,1.2833,385,0.0139,0.1126,1.0159,0.0796,10.00,1.00,,130,1.0000,1.0499,12,0.00,1.00,2.80,6.00,-1.80,6568.2667,,0.0463,0.9866,0.8267,21040684.6,154279781.0,6312296
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,1337,true,0.2633,79,0.0027,0.7836,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.9733,6595954.2,42383190.0,1978791
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,1337,false,0.3133,94,0.0032,0.7568,3.5000,0.0000,0.00,1.00,,,1.0000,18.9873,0,0.00,1.00,5.57,8.00,-4.57,0.0000,,0.0648,0.9989,0.9733,6645376.4,42130292.0,1993720
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,1337,true,0.2167,65,0.0020,0.8181,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.9667,106684.6,1163987.0,32048
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,1337,false,0.2167,65,0.0020,0.8181,,0.0000,0.00,1.00,,,1.0000,0.0000,0,0.00,1.00,7.17,10.00,-6.17,0.0000,,0.0556,1.0000,0.9667,106311.6,1128687.0,32035
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,1337,true,1.2333,370,0.0114,0.1160,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.7933,1131595.0,10507853.0,339483
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,1337,false,1.0133,304,0.0094,0.2482,0.7371,0.1493,,1.00,,,1.0000,-17.8378,3902,0.23,1.23,4.31,8.00,-3.08,6361.9667,,0.2685,0.9915,0.8000,1058103.9,9882970.0,318028
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,1337,true,0.2500,75,0.0103,0.7988,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.9733,930208.3,30067596.0,279067
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,1337,false,0.2467,74,0.0102,0.8020,0.5000,0.0100,,1.00,,,1.0000,-1.3333,111,0.00,1.00,3.86,9.00,-2.86,170.0000,,0.0648,0.9907,0.9733,907038.8,28716854.0,272230
